id,title,genre,description,year,director,keywords
1,The Matrix,Sci-Fi Action,"A computer hacker discovers that reality is a simulation created by intelligent machines. He joins a rebellion to break free from the artificial dream world and awaken humanity to the true nature of their existence, exploring themes of reality, consciousness, and freedom.",1999,"Lana Wachowski, Lilly Wachowski","reality simulation, hackers, machines, awakening, virtual world, philosophy"
2,Inception,Sci-Fi Thriller,"A skilled thief who enters people's dreams to steal corporate secrets is offered a chance to have his criminal record erased. He must perform the inverse task: planting an idea in someone's subconscious through shared dreaming, navigating multiple layers of dreams within dreams.",2010,"Christopher Nolan","dreams, subconscious, heist, reality layers, memory extraction, shared dreaming"
3,The Godfather,Crime Drama,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son. A powerful saga about family, power, loyalty, and the corruption of the American dream in the world of organized crime.",1972,"Francis Ford Coppola","mafia, family, power, crime, loyalty, corruption, organized crime"
4,Pulp Fiction,Crime Drama,"Interconnected stories of Los Angeles mobsters, fringe players, small-time criminals, and a mysterious briefcase. A nonlinear narrative exploring violence, redemption, and the unpredictable, often surreal nature of life and crime.",1994,"Quentin Tarantino","nonlinear, crime, redemption, violence, dark humor, interconnected stories"
5,The Dark Knight,Action Crime,"Batman faces his greatest challenge in the Joker, an agent of chaos who tests the boundaries between order and anarchy. A psychological battle that questions the nature of justice, heroism, and morality in a gritty urban landscape.",2008,"Christopher Nolan","superhero, chaos, justice, morality, psychological, heroism, anarchy"
6,Interstellar,Sci-Fi Adventure,"In a future where Earth is dying, a team of explorers travel through a recently discovered wormhole in search of a new home for humanity. A journey through space, time, and the boundaries of human understanding, love, and survival.",2014,"Christopher Nolan","space travel, wormhole, time dilation, survival, love, exploration, physics"
7,Forrest Gump,Drama Romance,"A man with a low IQ witnesses and unwittingly influences several defining historical events in 20th century America. A heartwarming story about love, destiny, innocence, and the American dream seen through uniquely optimistic eyes.",1994,"Robert Zemeckis","innocence, historical events, love, destiny, American dream, optimism"
8,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency. A powerful tale of hope, friendship, perseverance, and the triumph of the human spirit against injustice.",1994,"Frank Darabont","prison, hope, friendship, redemption, injustice, perseverance, freedom"
9,The Truman Show,Drama Comedy,"An insurance salesman discovers his entire life is actually a reality television show. He must confront the nature of his existence and decide whether to remain in his artificial world or venture into the unknown reality.",1998,"Peter Weir","reality TV, artificial life, existential crisis, freedom, manipulation, discovery"
10,Blade Runner,Sci-Fi Noir,"In a dystopian future, a blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator. A philosophical exploration of humanity, memory, and what it means to be alive.",1982,"Ridley Scott","replicants, dystopia, humanity, memory, identity, future, philosophy"
11,Eternal Sunshine of the Spotless Mind,Sci-Fi Romance,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories. But as the memories fade, they rediscover the reasons they fell in love in the first place.",2004,"Michel Gondry","memory, love, relationships, erasure, second chances, emotions"
12,The Prestige,Mystery Thriller,"Two stage magicians engage in a competitive one-upmanship to create the ultimate illusion while sacrificing everything they have to outwit each other. A tale of obsession, secrecy, and the price of greatness.",2006,"Christopher Nolan","magic, rivalry, obsession, illusion, sacrifice, secrecy, competition"
13,Avatar,Sci-Fi Adventure,"A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. A story about nature, colonization, and finding one's true identity.",2009,"James Cameron","aliens, nature, colonization, identity, adventure, environment, biosphere"
14,Back to the Future,Sci-Fi Comedy,"A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend. He must make sure his high-school-age parents unite or he will cease to exist.",1985,"Robert Zemeckis","time travel, comedy, family, adventure, 80s, science, paradox"
15,The Social Network,Biography Drama,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the company.",2010,"David Fincher","facebook, entrepreneurship, betrayal, innovation, lawsuits, friendship"
16,Get Out,Horror Thriller,"A young African-American man visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",2017,"Jordan Peele","racism, psychological, suspense, social commentary, mind control"
17,Parasite,Drama Thriller,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",2019,"Bong Joon-ho","class struggle, family, dark comedy, social inequality, deception"
18,Spirited Away,Animated Fantasy,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, where humans are changed into beasts.",2001,"Hayao Miyazaki","spirits, bathhouse, fantasy, coming of age, Japanese folklore"
19,Joker,Psychological Drama,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime.",2019,"Todd Phillips","mental illness, society, violence, transformation, chaos"
20,The Silence of the Lambs,Horror Crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.",1991,"Jonathan Demme","serial killer, FBI, psychology, cannibalism, investigation"
21,La La Land,Musical Romance,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",2016,"Damien Chazelle","music, dance, Hollywood, dreams, jazz, romance"
22,The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",2001,"Peter Jackson","middle-earth, fellowship, ring, quest, epic, mythology"
23,Black Panther,Superhero Action,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",2018,"Ryan Coogler","wakanda, royalty, technology, heritage, superhero"
24,Toy Story,Animated Comedy,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",1995,"John Lasseter","toys, friendship, childhood, adventure, animation"
25,The Shining,Psychological Horror,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,"Stanley Kubrick","hotel, isolation, madness, supernatural, winter"
26,Mad Max: Fury Road,Action Adventure,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,"George Miller","post-apocalyptic, chase, rebellion, survival, wasteland"
27,The Departed,Crime Thriller,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",2006,"Martin Scorsese","undercover, police, mob, double life, betrayal"
28,Gravity,Sci-Fi Drama,"Two astronauts work together to survive after an accident leaves them stranded in space.",2013,"Alfonso Cuarón","space, survival, isolation, NASA, disaster"
29,The Lion King,Animated Musical,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,"Roger Allers, Rob Minkoff","africa, animals, royalty, coming of age, circle of life"
30,Goodfellas,Crime Biography,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.",1990,"Martin Scorsese","mafia, true story, rise and fall, crime life, loyalty"
31,The Exorcist,Supernatural Horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",1973,"William Friedkin","possession, demon, religion, exorcism, supernatural"
32,Whiplash,Music Drama,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",2014,"Damien Chazelle","music, obsession, perfection, jazz, mentorship"
33,Gladiator,Historical Epic,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",2000,"Ridley Scott","rome, revenge, colosseum, empire, historical"
34,The Avengers,Superhero Sci-Fi,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.",2012,"Joss Whedon","superhero team, aliens, New York, marvel, ensemble"
35,Her,Sci-Fi Romance,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2013,"Spike Jonze","artificial intelligence, love, loneliness, future, technology"
